category_code,category_name,level,title,catalog_key,sub_anchor,parent_key,type,version_key
1,宪法性法律,1,中华人民共和国宪法,01-001,,,Law,
1,宪法性法律,1,反分裂国家法,01-002,,,Law,
1,宪法性法律,1,中华人民共和国国家安全法,01-003,,,Law,
1,宪法性法律,1,中华人民共和国立法法,01-004,,,Law,
1,宪法性法律,1,中华人民共和国全国人民代表大会和地方各级人民代表大会选举法,01-005,,,Law,
1,宪法性法律,1,中华人民共和国全国人民代表大会和地方各级人民代表大会代表法,01-006,,,Law,
1,宪法性法律,1,中华人民共和国全国人民代表大会组织法,01-007,,,Law,
1,宪法性法律,1,中华人民共和国国务院组织法,01-008,,,Law,
1,宪法性法律,1,中华人民共和国监察法,01-009,,,Law,
1,宪法性法律,1,中华人民共和国地方各级人民代表大会和地方各级人民政府组织法,01-010,,,Law,
1,宪法性法律,1,中华人民共和国各级人民代表大会常务委员会监督法,01-011,,,Law,
1,宪法性法律,1,中华人民共和国民族区域自治法,01-012,,,Law,
1,宪法性法律,1,中华人民共和国香港特别行政区基本法,01-013,,,Law,
1,宪法性法律,1,中华人民共和国香港特别行政区基本法附件一 香港特别行政区行政长官的产生办法,01-014,,,Law,
1,宪法性法律,1,中华人民共和国香港特别行政区基本法附件二 香港特别行政区立法会的产生办法和表决程序,01-015,,,Law,
1,宪法性法律,1,全国人民代表大会关于建立健全香港特别行政区维护国家安全的法律制度和执行机制的决定,01-016,,,Law,
1,宪法性法律,1,中华人民共和国香港特别行政区维护国家安全法,01-017,,,Law,
1,宪法性法律,1,中华人民共和国澳门特别行政区基本法,01-018,,,Law,
1,宪法性法律,1,中华人民共和国村民委员会组织法,01-019,,,Law,
1,宪法性法律,1,中华人民共和国城市居民委员会组织法,01-020,,,Law,
1,宪法性法律,1,中华人民共和国国家勋章和国家荣誉称号法,01-021,,,Law,
1,宪法性法律,1,中华人民共和国国旗法,01-022,,,Law,
1,宪法性法律,1,中华人民共和国国徽法,01-023,,,Law,
1,宪法性法律,1,中华人民共和国国歌法,01-024,,,Law,
1,宪法性法律,1,全国人民代表大会常务委员会关于实行宪法宣誓制度的决定,01-025,,,Law,
2,民法,1,中华人民共和国民法典,02-001,,,Law,
2,民法,3,最高人民法院关于适用《中华人民共和国民法典》有关担保制度的解释,02-001,JI.001,02-001,JudicialInterpretation,
